"dataset","instance","ARI","NMI"
"dropout_nb","PLit_NB",0.6565,0.7345
"dropout_poisson","PLit_NB",0.814,0.9005
"marker_nb","PLit_NB",0.7485,0.9095
"marker_poisson","PLit_NB",0.744,0.90875
"multi_nb","PLit_NB",0.7445,0.822
"multi_poisson","PLit_NB",0.88175,0.9565
"subtle_nb","PLit_NB",5e-04,0.05725
"subtle_poisson","PLit_NB",-0.00025,0.055
"dropout_nb","PLit_Pois",0.788,0.87075
"dropout_poisson","PLit_Pois",0.8045,0.89975
"marker_nb","PLit_Pois",0.75275,0.90875
"marker_poisson","PLit_Pois",0.724,0.90325
"multi_nb","PLit_Pois",0.91,0.96675
"multi_poisson","PLit_Pois",0.88175,0.9565
"subtle_nb","PLit_Pois",0.003,0.0655
"subtle_poisson","PLit_Pois",5e-04,0.05675
"dropout_nb","ReThiN_NB",-0.00025,0.05475
"dropout_poisson","ReThiN_NB",-0.00025,0.05425
"marker_nb","ReThiN_NB",0.787,0.91675
"marker_poisson","ReThiN_NB",0.76475,0.9165
"multi_nb","ReThiN_NB",0.917,0.96875
"multi_poisson","ReThiN_NB",0.889,0.9585
"subtle_nb","ReThiN_NB",0.00075,0.05775
"subtle_poisson","ReThiN_NB",5e-04,0.05675
"dropout_nb","ReThiN_Pois",0.793,0.8695
"dropout_poisson","ReThiN_Pois",0.804,0.89475
"marker_nb","ReThiN_Pois",0.7415,0.9085
"marker_poisson","ReThiN_Pois",0.737,0.90825
"multi_nb","ReThiN_Pois",0.91275,0.9675
"multi_poisson","ReThiN_Pois",0.884,0.9575
"subtle_nb","ReThiN_Pois",0.003,0.066
"subtle_poisson","ReThiN_Pois",0.0035,0.0665
